ADMINNAME	NAME	ABBREVIATI	LXX	latitude	longtitude
天桥区	大赵家庄	大赵家庄	自然村	36.6785953048	117.014151166
历下区	窑头庄村	窑头庄村	自然村	36.6532367785	117.073952933
历城区	洪家楼街道	洪家楼街道	街道级地名	36.68461547	117.05186447
历下区	甸柳新村街道	甸柳新村街道	街道级地名	36.6592494109	117.06139741
天桥区	天桥东街街道	天桥东街街道	街道级地名	36.6740261301	116.99317113
历下区	大明湖街道	大明湖街道	街道级地名	36.6701085673	117.027098567
历下区	吉祥苑社区	吉祥苑社区	行政村	36.6564206744	117.062438544
历下区	燕山街道	燕山街道	街道级地名	36.6591521349	117.056355135
市中区	大观园街道	大观园街道	街道级地名	36.6590266102	116.98946961
历城区	港沟街道	港沟街道	街道级地名	36.6751261341	117.199879134
历城区	潘庄村	潘庄村	行政村	36.6604683188	117.197344695
天桥区	制锦市街道	制锦市街道	街道级地名	36.6685043458	117.007018345
市中区	七里山街道	七里山街道	街道级地名	36.6292819904	116.990807991
天桥区	官扎营街道	官扎营街道	街道级地名	36.6799347011	116.989118702
市中区	新市区社区	新市区社区	行政村	36.6514303714	117.001943342
历下区	解放路街道	解放路街道	街道级地名	36.6648617066	117.030914707
市中区	七一小区社区	七一小区社区	行政村	36.657655877	116.996188721
历城区	洪苑社区	洪苑社区	行政村	36.6881146862	117.06691109
历下区	草山岭社区	草山岭社区	行政村	36.6601305199	117.127729775
历下区	燕山新居社区	燕山新居社区	行政村	36.667842738	117.111003328
历下区	中润世纪城社区	中润世纪城社区	行政村	36.6545116952	117.074571665
历城区	闵子骞社区	闵子骞社区	行政村	36.6702386353	117.062707236
历城区	福润社区	福润社区	行政村	36.6861604981	117.049895305
历城区	洪楼广场社区	洪楼广场社区	行政村	36.6856446155	117.058981064
历城区	洪家楼社区	洪家楼社区	行政村	36.6887874313	117.056454583
历下区	奥体西苑社区	奥体西苑社区	行政村	36.650937435	117.09251054
历下区	文化西路社区	文化西路社区	行政村	36.6499546379	117.01069341
历城区	烟厂社区	烟厂社区	行政村	36.7033814766	117.068262962
天桥区	福康街社区	福康街社区	行政村	36.6659370898	117.003184271
天桥区	标山社区	标山社区	行政村	36.6948385637	116.993342534
历城区	有兰峪村	有兰峪村	行政村	36.6339564496	117.189605188
历城区	西周社区	西周社区	行政村	36.7026555438	117.087620389
天桥区	交通厅街社区	交通厅街社区	行政村	36.6789088786	116.989327693
历城区	黄台电厂社区	黄台电厂社区	行政村	36.7127469147	117.091069441
历城区	福鑫苑社区	福鑫苑社区	行政村	36.6970774898	117.053372056
历城区	桑园北社区	桑园北社区	行政村	36.7051353128	117.064355625
历城区	北全福社区	北全福社区	行政村	36.700144098	117.048778927
天桥区	白鹤社区	白鹤社区	行政村	36.6802607261	117.020042954
天桥区	黄台社区	黄台社区	行政村	36.7059122956	117.045813131
历城区	区直西社区	区直西社区	行政村	36.6806190375	117.053594232
天桥区	林桥社区	林桥社区	行政村	36.7010181949	116.996762955
天桥区	香磨李社区	香磨李社区	行政村	36.7068833611	116.991719566
历城区	韩仓三村	韩仓三村	行政村	36.7119588119	117.185450297
市中区	铁路第二社区	铁路第二社区	行政村	36.6332330539	116.991382206
市中区	青年西路社区	青年西路社区	行政村	36.6555699535	117.008002911
市中区	麟祥街社区	麟祥街社区	行政村	36.6651531589	116.999391884
市中区	睦和苑社区	睦和苑社区	行政村	36.6587383451	116.986778966
历下区	转山西路社区	转山西路社区	行政村	36.6510157291	117.092514446
历下区	华阳社区	华阳社区	行政村	36.6796360534	117.087488688
历城区	建鑫社区	建鑫社区	行政村	36.6793973832	117.058886316
市中区	魏家庄社区	魏家庄社区	行政村	36.6651475417	116.999276725
市中区	永庆街社区	永庆街社区	行政村	36.6588546814	116.994786768
市中区	玉函路社区	玉函路社区	行政村	36.6382609656	117.008010684
市中区	英雄山社区	英雄山社区	行政村	36.6437943116	116.993213354
历城区	锦绣泉城社区	锦绣泉城社区	行政村	36.6814109212	117.075618025
历城区	百花社区	百花社区	行政村	36.679021516	117.070761043
历城区	上海花园社区	上海花园社区	行政村	36.7001297988	117.083558932
历城区	祝甸社区	祝甸社区	行政村	36.6959484648	117.076802552
历下区	山大路社区	山大路社区	行政村	36.6438641907	117.049590996
历下区	中创开元山庄社区	中创开元山庄社区	行政村	36.6429636797	117.047859255
历下区	和平路社区	和平路社区	行政村	36.6596988067	117.043768303
历下区	花园路社区	花园路社区	行政村	36.6790685362	117.049937117
历下区	十亩园社区	十亩园社区	行政村	36.6622076211	117.030018328
历下区	荆山村	荆山村	行政村	36.6402303819	117.07853035
历城区	七里堡南北社区	七里堡南北社区	行政村	36.6910354684	117.066055651
历下区	义和庄	义和庄	行政村	36.6955982975	117.147874314
